Date,Open,High,Low,Close,Adj Close,Volume
1975-05-23,13.390625,13.710938,13.390625,13.679688,4.456963,851200
1975-05-27,13.679688,13.687500,13.468750,13.507813,4.400968,702400
1975-05-28,13.507813,13.531250,13.312500,13.335938,4.344969,579200
1975-05-29,13.335938,13.437500,13.281250,13.281250,4.327148,608000
1975-05-30,13.343750,13.484375,13.343750,13.437500,4.378058,739200
1975-06-02,13.562500,13.703125,13.562500,13.625000,4.439147,622400
1975-06-03,13.625000,13.734375,13.531250,13.656250,4.449329,913600
1975-06-04,13.656250,13.671875,13.539063,13.539063,4.411145,721600
1975-06-05,13.539063,13.625000,13.406250,13.625000,4.439147,937600
1975-06-06,13.601563,13.601563,13.328125,13.343750,4.347514,841600
1975-06-09,13.343750,13.437500,13.250000,13.250000,4.316967,776000
1975-06-10,13.250000,13.304688,13.156250,13.218750,4.306788,811200
1975-06-11,13.218750,13.328125,13.140625,13.140625,4.281332,980800
1975-06-12,13.140625,13.234375,13.000000,13.031250,4.245697,836800
1975-06-13,13.031250,13.046875,12.875000,12.882813,4.197334,1430400
1975-06-16,12.882813,13.031250,12.859375,13.015625,4.240609,806400
1975-06-17,13.015625,13.062500,12.718750,12.718750,4.143883,1024000
1975-06-18,12.718750,12.843750,12.687500,12.765625,4.159156,905600
1975-06-19,12.765625,13.023438,12.750000,13.023438,4.243153,1064000
1975-06-20,13.023438,13.140625,12.781250,12.898438,4.202426,1275200
1975-06-23,12.898438,13.312500,12.890625,13.312500,4.337331,678400
1975-06-24,13.312500,13.460938,13.203125,13.218750,4.306788,1137600
1975-06-25,13.218750,13.328125,13.125000,13.156250,4.286424,883200
1975-06-26,13.156250,13.156250,13.000000,13.078125,4.260971,998400
1975-06-27,13.078125,13.218750,13.015625,13.062500,4.255878,601600
1975-06-30,13.062500,13.187500,13.015625,13.062500,4.255878,720000
1975-07-01,13.062500,13.171875,13.007813,13.031250,4.245697,710400
1975-07-02,12.968750,12.968750,12.843750,12.929688,4.212608,857600
1975-07-03,12.929688,13.000000,12.890625,12.906250,4.204971,689600
1975-07-07,12.906250,12.937500,12.742188,12.750000,4.154064,902400
1975-07-08,12.750000,12.906250,12.726563,12.882813,4.197334,832000
1975-07-09,12.921875,13.125000,12.921875,13.093750,4.266058,961600
1975-07-10,13.078125,13.078125,12.796875,12.796875,4.169335,1168000
1975-07-11,12.796875,13.000000,12.656250,12.843750,4.184609,1451200
1975-07-14,12.843750,13.000000,12.812500,13.000000,4.235516,793600
1975-07-15,13.000000,13.093750,12.890625,12.921875,4.210064,878400
1975-07-16,12.921875,12.984375,12.718750,12.789063,4.166790,1006400
1975-07-17,12.789063,12.828125,12.593750,12.648438,4.120974,1150400
1975-07-18,12.617188,12.617188,12.453125,12.617188,4.110791,1569600
1975-07-21,12.617188,12.718750,12.468750,12.562500,4.092975,1011200
1975-07-22,12.453125,12.453125,12.320313,12.343750,4.021702,1467200
1975-07-23,12.343750,12.421875,12.000000,12.062500,3.930072,1396800
1975-07-24,12.062500,12.156250,11.968750,12.140625,3.955523,1360000
1975-07-25,12.140625,12.156250,11.859375,11.906250,3.879163,1516800
1975-07-28,11.906250,12.015625,11.890625,11.914063,3.881707,723200
1975-07-29,11.914063,12.125000,11.898438,12.000000,3.909708,1158400
1975-07-30,12.000000,12.179688,11.953125,12.179688,3.968253,1064000
1975-07-31,12.179688,12.203125,11.875000,11.890625,3.874071,1105600
1975-08-01,11.890625,11.921875,11.750000,11.828125,3.853709,1006400
1975-08-04,11.828125,11.890625,11.734375,11.734375,3.823165,840000
1975-08-05,11.734375,11.796875,11.523438,11.523438,3.754438,1192000
1975-08-06,11.523438,11.640625,11.523438,11.625000,3.787527,1139200
1975-08-07,11.609375,11.609375,11.375000,11.437500,3.761835,828800
1975-08-08,11.437500,11.484375,11.218750,11.250000,3.700165,1120000
1975-08-11,11.257813,11.468750,11.257813,11.468750,3.772111,459200
1975-08-12,11.468750,11.585938,11.351563,11.375000,3.741281,1080000
1975-08-13,11.375000,11.390625,11.070313,11.093750,3.648774,1060800
1975-08-14,11.109375,11.312500,11.109375,11.234375,3.695025,705600
1975-08-15,11.234375,11.390625,11.234375,11.390625,3.746416,619200
1975-08-18,11.390625,11.484375,11.351563,11.375000,3.741281,467200
